#time,accel_x,accel_y,accel_z
6229.259249,-814.226536,-9400.615463,-766.095498
6229.259572,-370.102971,-9326.594869,-1762.019645
6229.259894,-296.082377,-9104.533087,-1685.410096
6229.260217,-370.102971,-9474.636058,-1532.190996
6229.260539,-740.205942,-9474.636058,-1225.752797
6229.260861,-666.185348,-9474.636058,-1378.971896
6229.261184,-444.123565,-9252.574275,-1225.752797
6229.261506,-518.144159,-9548.656652,-1455.581446
6229.261829,-444.123565,-9548.656652,-1608.800546
6229.262151,-444.123565,-9474.636058,-1608.800546
6229.262473,-74.020594,-9548.656652,-1915.238745
6229.262796,-148.041188,-9326.594869,-1991.848295
6229.263118,0.000000,-9474.636058,-1762.019645
6229.263440,-370.102971,-9400.615463,-1762.019645
6229.263763,-370.102971,-9548.656652,-1149.143247
6229.264085,-518.144159,-9696.697840,-1685.410096
6229.264408,-296.082377,-9696.697840,-2068.457845
6229.264730,-740.205942,-9326.594869,-1608.800546
6229.265052,-592.164754,-9104.533087,-1455.581446
6229.265375,-518.144159,-8882.471304,-1608.800546
6229.265697,-444.123565,-8956.491898,-1455.581446
6229.266020,-370.102971,-8956.491898,-1532.190996
6229.266342,148.041188,-9178.553681,-1838.629195
6229.266664,-518.144159,-9252.574275,-1762.019645
6229.266987,-518.144159,-9474.636058,-1685.410096
6229.267309,-370.102971,-9474.636058,-1762.019645
6229.267631,-518.144159,-9326.594869,-1838.629195
6229.267954,-518.144159,-9326.594869,-1532.190996
6229.268276,0.000000,-9178.553681,-2068.457845
6229.268599,-222.061783,-9030.512492,-1608.800546
6229.268921,0.000000,-9400.615463,-1915.238745
6229.269243,-370.102971,-9178.553681,-1532.190996
6229.269566,-296.082377,-9474.636058,-612.876398
6229.269888,-296.082377,-9474.636058,-1991.848295
6229.270211,-370.102971,-9474.636058,-1685.410096
6229.270533,-444.123565,-9030.512492,-1838.629195
6229.270855,-296.082377,-9104.533087,-1838.629195
6229.271178,-222.061783,-9030.512492,-1072.533697
6229.271500,-296.082377,-9030.512492,-1149.143247
6229.271823,-592.164754,-9252.574275,-1762.019645
6229.272145,-592.164754,-9474.636058,-1991.848295
6229.272467,-962.267725,-9474.636058,-1991.848295
6229.272790,-444.123565,-9992.780217,-1915.238745
6229.273112,-666.185348,-9770.718434,-1608.800546
6229.273434,-296.082377,-9474.636058,-1532.190996
6229.273757,-222.061783,-9696.697840,-1915.238745
6229.274079,-222.061783,-9474.636058,-1838.629195
6229.274402,-296.082377,-9622.677246,-1762.019645
6229.274724,-370.102971,-9400.615463,-1762.019645
6229.275046,74.020594,-9622.677246,-1915.238745
6229.275369,-444.123565,-9696.697840,-1608.800546
6229.275691,-592.164754,-9474.636058,-1685.410096
6229.276014,-666.185348,-9252.574275,-1532.190996
6229.276336,-592.164754,-9326.594869,-1455.581446
6229.276658,-518.144159,-9178.553681,-1378.971896
6229.276981,-518.144159,-9474.636058,-1685.410096
6229.277303,-518.144159,-9252.574275,-1532.190996
6229.277625,-444.123565,-9474.636058,-1532.190996
6229.277948,-296.082377,-9548.656652,-1532.190996
