#time,accel_x,accel_y,accel_z
463.983487,-296.082377,-9178.553681,-1991.848295
463.983809,0.000000,-9474.636058,-1455.581446
463.984132,-296.082377,-9622.677246,-1378.971896
463.984454,-444.123565,-9696.697840,-1685.410096
463.984777,-444.123565,-9622.677246,-1455.581446
463.985099,-518.144159,-9178.553681,-1915.238745
463.985422,-444.123565,-9104.533087,-1302.362347
463.985744,-370.102971,-9400.615463,-1532.190996
463.986067,-370.102971,-9252.574275,-1532.190996
463.986389,-370.102971,-9326.594869,-1532.190996
463.986712,-592.164754,-9548.656652,-1378.971896
463.987034,-518.144159,-9400.615463,-1378.971896
463.987357,-444.123565,-9474.636058,-1455.581446
463.987679,-370.102971,-9548.656652,-1378.971896
463.988002,-370.102971,-9326.594869,-1532.190996
463.988325,-518.144159,-9400.615463,-1532.190996
463.988647,0.000000,-9474.636058,-1991.848295
463.988970,0.000000,-9474.636058,-1532.190996
463.989292,-370.102971,-9252.574275,-1532.190996
463.989615,-518.144159,-9474.636058,-1455.581446
463.989937,-296.082377,-9400.615463,-1302.362347
463.990260,-296.082377,-9770.718434,-1455.581446
463.990582,-222.061783,-8808.450710,-766.095498
463.990905,-296.082377,-9104.533087,-1455.581446
463.991227,-296.082377,-9104.533087,-1378.971896
463.991550,-296.082377,-9104.533087,-1532.190996
463.991872,-296.082377,-9252.574275,-1149.143247
463.992195,-148.041188,-8956.491898,-1149.143247
463.992517,-666.185348,-9178.553681,-1455.581446
463.992840,-444.123565,-9474.636058,-1532.190996
463.993162,-518.144159,-9474.636058,-1608.800546
463.993485,-518.144159,-9326.594869,-1378.971896
463.993807,-74.020594,-9400.615463,-1685.410096
463.994130,-296.082377,-9030.512492,-1762.019645
463.994452,-370.102971,-9326.594869,-1762.019645
463.994775,-444.123565,-9252.574275,-1532.190996
463.995097,-370.102971,-9400.615463,-1608.800546
463.995420,-518.144159,-9178.553681,-2068.457845
463.995742,-222.061783,-9474.636058,-1838.629195
463.996065,-444.123565,-9622.677246,-1685.410096
463.996388,-592.164754,-9474.636058,-1608.800546
463.996710,-296.082377,-9474.636058,-1762.019645
463.997033,-296.082377,-9326.594869,-1915.238745
463.997355,0.000000,-9400.615463,-1149.143247
463.997678,-370.102971,-9252.574275,-2068.457845
463.998000,-370.102971,-9474.636058,-2068.457845
463.998323,-592.164754,-9474.636058,-1915.238745
463.998645,-370.102971,-9548.656652,-1762.019645
463.998968,-592.164754,-9400.615463,-1149.143247
463.999290,0.000000,-9622.677246,-2298.286494
